"Churned","Membership_Years","Signup_Quarter","Login_Frequency","Session_Duration_Avg","Total_Purchases","Days_Since_Last_purchase","Average_Order_Value","Cart_Abandonment_Rate","Customer_Service_calls","Returns_Rate","Discount_Usage_Rate","Product_Reviews_Written"
0,4.8,Q1,15.0,33.9,15.0,47.0,69.44,34.6,8.0,9.5,23.6,4.0
1,1.8,Q1,0.0,13.2,10.0,94.0,198.35,58.6,9.0,10.9,,2.0
1,1.6,Q1,9.0,10.5,7.0,44.0,121.17,72.8,9.0,6.2,37.8,
0,2.1,Q1,10.0,39.6,15.0,14.0,217.21,38.9,4.0,17.7,,1.0
0,3.6,Q4,17.0,20.4,10.4,7.0,60.9,51.4,4.0,5.1,,2.0
0,2.1,Q4,18.0,46.9,29.900000000000002,3.0,51.36,45.4,6.0,1.3,22.08,2.0
0,6.3,Q3,24.0,41.4,13.0,8.0,104.41,48.1,5.0,5.8,11.4,4.0
0,1.7,Q3,5.0,20.8,8.0,9.0,142.89,70.2,7.0,,62.2,3.0
0,3.2,Q4,3.0,22.4,10.4,17.0,103.77,73.5,4.0,4.9,34.92,1.0
0,0.3,Q2,26.0,36.7,14.0,20.0,82.7,46.5,4.0,3.4,60.5,3.0
0,4.8,Q3,16.0,45.7,20.0,14.0,102.42,41.7,3.0,,,4.0
0,4.0,Q2,20.0,37.4,22.0,12.0,152.76,56.9,3.0,0.3,32.3,9.0
0,3.8,Q3,6.0,32.8,13.0,6.0,119.3,51.2,7.0,16.6,16.9,4.0
0,1.9,Q4,19.0,33.3,19.5,18.0,141.59,27.4,5.0,13.1,32.04,5.0
0,1.5,Q2,25.0,46.2,26.0,25.0,80.27,34.5,0.0,11.4,,8.0
1,1.4,Q4,14.0,39.0,23.400000000000002,4.0,153.4,22.1,3.0,14.4,65.64,3.0
1,3.5,Q2,6.0,9.0,4.0,124.0,159.6,76.0,7.0,0.3,73.8,1.0
0,5.4,Q2,9.0,19.6,10.0,53.0,88.03,54.3,8.0,3.5,57.5,1.0
0,4.3,Q3,7.0,19.2,16.0,12.0,107.13,59.8,7.0,3.3,33.2,
0,2.6,Q4,6.0,22.9,11.700000000000001,,82.54,62.8,7.0,9.7,30.839999999999996,4.0
1,0.7,Q2,7.0,23.7,11.0,10.0,83.69,48.1,11.0,6.9,27.2,4.0
1,0.9,Q2,5.0,11.2,5.0,36.0,171.12,63.2,3.0,1.0,36.6,0.0
0,9.3,Q2,12.0,23.5,10.0,3.0,63.25,78.3,5.0,2.7,35.8,4.0
0,1.2,Q4,12.0,36.7,26.0,8.0,96.02,63.4,4.0,,27.720000000000002,4.0
0,0.9,Q3,17.0,39.1,18.0,32.0,133.43,30.7,3.0,3.1,61.8,7.0
1,0.8,Q4,5.0,18.3,2.6,15.0,97.98,68.8,8.0,,12.719999999999999,0.0
0,1.3,Q2,12.0,27.0,6.0,43.0,49.46,61.3,3.0,5.3,75.6,0.0
0,1.6,Q3,2.0,13.8,7.0,6.0,70.73,61.8,8.0,2.9,32.1,0.0
0,5.3,Q4,18.0,42.1,24.7,74.0,108.17,62.0,4.0,1.9,61.92,5.0
0,3.6,Q1,3.0,18.5,14.0,14.0,82.93,58.5,5.0,7.0,65.0,2.0
1,0.2,Q2,31.0,37.3,16.0,67.0,134.24,32.0,7.0,3.3,33.3,6.0
0,3.6,Q1,32.0,44.2,18.0,11.0,206.62,20.7,2.0,5.5,63.9,4.0
0,6.3,Q1,21.0,26.0,12.0,61.0,103.08,65.8,5.0,5.5,,3.0
0,3.4,Q3,23.0,44.6,15.0,48.0,111.93,46.8,4.0,17.0,25.1,1.0
0,1.2,Q2,32.0,37.1,19.0,,142.42,46.3,5.0,2.9,28.0,5.0
0,1.8,Q1,6.0,10.0,4.0,31.0,136.59,72.2,5.0,6.7,62.4,0.0
0,2.1,Q3,14.0,32.7,18.0,91.0,62.16,46.2,5.0,12.0,47.9,5.0
0,2.5,Q4,14.0,37.1,19.5,20.0,103.66,36.0,7.0,9.9,31.08,4.0
1,1.9,Q3,5.0,11.6,7.0,57.0,118.02,87.1,6.0,2.1,9.7,2.0
1,2.9,Q4,24.0,37.7,31.200000000000003,9.0,104.08,45.8,7.0,,92.52,4.0
1,3.2,Q3,19.0,34.0,12.0,51.0,180.46,30.7,6.0,6.8,8.3,5.0
0,2.7,Q4,9.0,27.6,20.8,22.0,62.59,50.2,2.0,2.4,98.39999999999999,3.0
1,2.3,Q2,5.0,16.5,4.0,30.0,143.98,90.2,4.0,,5.2,0.0
0,3.6,Q3,9.0,21.8,13.0,8.0,85.91,69.0,6.0,0.2,68.5,3.0
1,2.5,Q4,18.0,34.4,19.5,13.0,241.2,45.7,8.0,12.1,101.52,3.0
0,2.8,Q3,21.0,40.1,26.0,42.0,55.46,42.0,3.0,5.5,19.8,3.0
0,1.5,Q2,0.0,11.6,8.0,,136.82,80.8,4.0,2.1,68.8,1.0
0,4.0,Q4,1.0,13.3,15.600000000000001,2.0,96.04,73.1,3.0,4.7,57.84,2.0
0,6.6,Q2,27.0,48.5,18.0,,110.49,54.8,3.0,0.6,4.9,6.0
1,5.3,Q3,0.0,26.8,4.0,1.0,106.8,82.7,9.0,1.5,,1.0
0,1.2,Q2,10.0,17.3,6.0,32.0,225.02,62.2,7.0,8.8,75.4,3.0
0,3.4,Q2,7.0,25.9,10.0,24.0,150.38,62.5,2.0,7.0,71.3,2.0
0,7.7,Q2,29.0,42.3,21.0,3.0,138.26,4.9,3.0,6.5,29.8,4.0
1,4.4,Q4,5.0,15.5,9.1,108.0,92.11,63.2,4.0,6.4,66.47999999999999,1.0
0,2.7,Q2,20.0,34.0,20.0,80.0,78.31,46.0,4.0,5.1,22.8,5.0
0,0.9,Q2,16.0,34.4,15.0,23.0,102.98,36.9,7.0,9.5,,2.0
0,0.8,Q1,3.0,16.2,6.0,43.0,85.08,68.4,8.0,2.2,47.6,5.0
0,4.1,Q2,13.0,36.1,13.0,76.0,100.29,48.0,5.0,18.7,18.1,4.0
0,9.1,Q2,3.0,27.2,14.0,127.0,111.11,51.9,7.0,5.7,7.2,3.0
0,0.8,Q2,27.0,33.5,19.0,14.0,86.61,39.5,2.0,3.1,36.8,6.0
0,1.7,Q2,5.0,11.8,5.0,3.0,132.78,71.7,5.0,3.3,40.6,1.0
0,2.7,Q2,6.0,11.6,6.0,3.0,76.52,76.2,5.0,4.2,20.1,
0,1.0,Q3,4.0,18.4,16.0,23.0,114.63,65.5,5.0,7.6,54.0,4.0
0,1.1,Q3,12.0,31.6,17.0,66.0,104.81,45.1,5.0,6.7,50.0,9.0
0,1.7,Q1,8.0,24.0,12.0,34.0,125.34,51.5,3.0,3.1,55.7,1.0
0,2.1,Q3,9.0,16.3,6.0,1.0,121.45,62.3,8.0,2.7,21.6,2.0
0,1.2,Q4,10.0,27.7,16.900000000000002,23.0,123.0,52.9,7.0,11.9,65.75999999999999,2.0
1,2.9,Q2,7.0,13.5,8.0,2.0,166.72,68.9,11.0,11.4,30.8,
0,7.4,Q4,14.0,25.2,26.0,29.0,135.56,43.6,5.0,,16.439999999999998,10.0
0,0.1,Q1,10.0,21.4,6.0,1.0,89.0,69.2,9.0,6.1,,1.0
0,2.3,Q4,28.0,45.7,31.200000000000003,,172.65,23.4,3.0,2.1,18.96,8.0
0,2.6,Q3,5.0,,4.0,1.0,124.4,77.3,1.0,0.9,9.6,0.0
0,0.9,Q3,10.0,26.9,6.0,11.0,79.12,67.8,4.0,6.4,26.7,3.0
0,3.3,Q1,6.0,11.3,6.0,2.0,122.63,73.6,10.0,4.0,69.5,3.0
0,3.4,Q4,0.0,20.7,7.800000000000001,12.0,66.66,74.7,2.0,0.3,73.32,1.0
0,3.7,Q3,8.0,13.0,4.0,3.0,140.09,70.6,7.0,1.7,16.7,1.0
0,2.3,Q2,7.0,25.4,6.0,0.0,240.66,70.3,8.0,11.1,,3.0
0,0.8,Q2,10.0,13.4,5.0,34.0,83.66,80.6,8.0,7.3,46.5,0.0
0,9.5,Q4,11.0,27.1,15.600000000000001,,139.19,47.3,2.0,7.7,35.04,3.0
0,3.4,Q3,13.0,26.6,8.0,65.0,96.62,63.1,5.0,6.7,30.3,3.0
0,0.9,Q1,28.0,35.8,20.0,33.0,60.24,48.0,9.0,8.4,18.9,6.0
0,1.4,Q4,8.0,21.0,9.1,15.0,146.29,50.5,6.0,3.8,28.439999999999998,1.0
0,1.6,Q1,12.0,15.6,10.0,,97.95,55.6,10.0,7.7,46.8,2.0
1,0.2,Q1,10.0,12.6,15.0,8.0,73.68,79.8,9.0,2.6,57.2,0.0
0,5.4,Q3,9.0,11.8,8.0,9.0,94.63,91.1,1.0,3.7,29.9,2.0
1,0.6,Q4,8.0,29.6,19.5,6.0,248.53,37.2,4.0,0.7,39.959999999999994,3.0
0,2.2,Q1,17.0,35.3,16.0,15.0,74.31,55.0,5.0,,71.9,4.0
1,1.5,Q3,18.0,23.8,7.0,61.0,104.72,70.3,10.0,9.1,16.2,1.0
1,1.9,Q2,8.0,18.1,2.0,5.0,220.17,70.5,6.0,8.4,76.6,1.0
0,5.2,Q3,2.0,26.0,5.0,1.0,103.92,78.2,6.0,3.8,46.1,1.0
0,2.5,Q1,5.0,24.2,9.0,12.0,59.89,41.1,6.0,12.2,86.6,4.0
0,1.6,Q4,6.0,20.6,3.9000000000000004,8.0,127.49,60.1,5.0,6.2,78.84,1.0
1,1.3,Q2,19.0,31.5,16.0,130.0,110.42,44.5,3.0,4.5,19.3,2.0
1,4.5,Q4,0.0,16.8,7.800000000000001,,115.15,54.6,12.0,6.0,33.72,0.0
0,3.7,Q4,7.0,20.6,10.4,8.0,128.84,59.1,8.0,10.8,70.08,1.0
0,4.6,Q4,23.0,45.9,24.7,30.0,100.21,52.4,4.0,7.1,54.6,5.0
0,1.2,Q2,5.0,13.5,7.0,42.0,76.06,63.1,8.0,9.0,61.5,3.0
0,4.7,Q4,3.0,17.7,7.800000000000001,5.0,178.42,59.2,10.0,1.1,20.279999999999998,3.0
0,0.1,Q2,4.0,36.2,10.0,,264.02,48.8,3.0,7.1,33.3,7.0
1,0.6,Q4,4.0,21.8,6.5,3.0,81.76,87.7,3.0,10.0,87.48,
1,2.4,Q2,0.0,2.6,4.0,27.0,86.29,63.3,8.0,6.2,31.6,0.0
1,0.6,Q1,6.0,34.4,15.0,40.0,186.99,42.6,6.0,,77.1,
0,1.3,Q2,9.0,23.0,5.0,2.0,72.0,64.1,9.0,4.3,46.3,
0,5.2,Q2,18.0,25.9,4.0,23.0,220.22,65.4,5.0,2.8,30.8,2.0
1,1.3,Q2,11.0,23.8,7.0,43.0,71.03,76.2,5.0,4.2,19.3,3.0
0,4.7,Q3,3.0,6.9,7.0,3.0,66.55,73.5,7.0,,65.7,0.0
0,2.3,Q4,15.0,18.5,15.600000000000001,1.0,107.29,58.3,8.0,,30.36,1.0
0,2.4,Q1,6.0,18.8,6.0,2.0,80.79,81.3,8.0,6.4,34.0,1.0
0,2.7,Q1,2.0,,9.0,51.0,152.54,61.0,5.0,0.9,69.6,4.0
0,5.7,Q3,16.0,12.0,7.0,49.0,99.87,71.2,9.0,5.1,61.1,1.0
0,2.3,Q1,8.0,32.5,9.0,9.0,85.01,58.6,9.0,,44.4,1.0
0,2.8,Q1,10.0,18.8,8.0,67.0,165.06,75.2,6.0,1.3,39.5,2.0
0,2.1,Q1,31.0,49.9,21.0,4.0,93.26,44.4,3.0,7.5,29.6,9.0
0,1.1,Q4,4.0,17.3,16.900000000000002,6.0,69.26,60.9,3.0,10.6,16.919999999999998,1.0
0,1.9,Q3,7.0,13.5,7.0,85.0,124.42,57.9,3.0,2.8,37.1,
0,0.8,Q2,0.0,18.7,13.0,2.0,81.19,58.6,4.0,22.8,58.1,3.0
0,2.5,Q4,19.0,30.4,16.900000000000002,20.0,90.05,51.5,9.0,10.9,53.4,3.0
0,4.5,Q3,12.0,21.0,9.0,,153.71,58.1,7.0,1.0,48.7,5.0
1,2.2,Q2,16.0,25.8,14.0,51.0,145.64,46.1,7.0,25.6,17.9,2.0
1,1.1,Q1,7.0,17.3,4.0,180.0,185.72,88.0,8.0,5.8,33.2,0.0
0,2.3,Q4,9.0,24.9,13.0,17.0,107.98,47.5,7.0,5.6,45.35999999999999,2.0
1,1.0,Q2,8.0,25.7,16.0,37.0,106.33,37.5,9.0,4.5,46.8,1.0
0,0.5,Q3,23.0,47.9,15.0,27.0,152.22,41.7,3.0,3.1,43.6,4.0
0,1.3,Q2,13.0,13.4,7.0,21.0,160.95,49.8,4.0,5.7,44.5,2.0
0,6.7,Q4,24.0,54.1,28.6,54.0,121.2,16.0,3.0,7.2,21.0,4.0
0,0.3,Q1,33.0,47.3,22.0,89.0,109.27,36.9,4.0,8.6,,5.0
0,1.5,Q4,8.0,23.4,13.0,0.0,133.43,66.7,7.0,,,1.0
0,2.7,Q3,12.0,19.7,8.0,62.0,137.98,70.2,5.0,2.9,83.8,2.0
0,2.5,Q3,20.0,,18.0,41.0,70.47,61.8,4.0,14.1,40.6,5.0
0,8.1,Q4,19.0,22.0,9.1,70.0,120.97,70.3,10.0,2.3,55.199999999999996,2.0
0,3.6,Q3,6.0,29.8,10.0,30.0,126.91,48.8,7.0,2.2,54.1,0.0
0,3.1,Q1,14.0,26.4,12.0,33.0,124.91,45.6,1.0,4.2,39.2,5.0
0,1.3,Q3,1.0,17.1,6.0,18.0,133.96,69.7,5.0,0.8,14.7,3.0
0,1.9,Q2,9.0,29.2,15.0,63.0,107.49,41.2,6.0,5.6,19.7,0.0
0,10.0,Q3,16.0,36.5,14.0,10.0,186.92,50.9,3.0,6.0,58.2,4.0
1,2.3,Q3,21.0,30.2,14.0,10.0,162.69,43.3,4.0,3.8,12.9,3.0
0,0.1,Q3,14.0,32.2,27.0,7.0,85.25,42.5,4.0,7.1,13.3,7.0
0,1.1,Q1,13.0,17.6,9.0,30.0,103.7,77.3,11.0,5.4,22.3,5.0
0,1.0,Q3,25.0,45.4,24.0,68.0,90.27,27.7,3.0,11.2,40.0,5.0
0,3.2,Q3,9.0,28.7,11.0,59.0,126.23,57.3,4.0,0.3,59.9,2.0
0,3.5,Q1,24.0,59.9,25.0,19.0,170.39,12.7,0.0,15.9,65.3,7.0
0,3.4,Q4,1.0,17.8,11.700000000000001,13.0,125.52,72.2,10.0,2.4,86.04,1.0
0,0.4,Q4,6.0,16.8,9.1,21.0,102.95,57.7,4.0,6.6,61.67999999999999,1.0
0,4.1,Q1,9.0,,13.0,13.0,86.57,74.6,8.0,9.7,36.7,3.0
0,0.6,Q3,21.0,32.9,15.0,,73.42,35.6,4.0,6.0,,3.0
1,5.0,Q2,4.0,14.9,11.0,15.0,202.86,63.3,7.0,6.9,68.5,
1,4.3,Q3,5.0,15.8,11.0,20.0,235.03,71.9,6.0,,65.8,4.0
0,6.1,Q2,2.0,,8.0,68.0,51.17,78.1,8.0,7.4,13.0,1.0
0,2.2,Q1,3.0,17.6,10.0,21.0,71.79,55.8,7.0,4.9,,
0,9.0,Q3,14.0,30.1,14.0,2.0,74.87,44.4,6.0,2.0,58.1,2.0
1,0.9,Q2,16.0,27.9,9.0,23.0,133.08,82.1,11.0,10.2,68.9,3.0
0,3.1,Q2,13.0,40.4,21.0,89.0,165.29,42.4,3.0,5.0,63.2,7.0
1,0.9,Q3,19.0,38.0,11.0,65.0,231.55,46.7,10.0,3.5,,
0,2.0,Q2,19.0,42.4,18.0,82.0,140.73,29.7,5.0,15.5,8.7,3.0
1,4.8,Q2,18.0,,12.0,8.0,235.37,65.0,10.0,2.0,15.4,4.0
0,1.0,Q1,6.0,28.3,11.0,78.0,62.36,60.4,4.0,12.7,27.6,1.0
0,3.7,Q2,26.0,49.3,16.0,66.0,117.68,49.3,3.0,0.8,39.7,4.0
0,2.4,Q3,2.0,16.2,6.0,12.0,59.86,67.1,9.0,3.9,63.2,3.0
1,1.0,Q4,10.0,30.0,20.8,61.0,177.04,52.7,7.0,16.0,50.879999999999995,5.0
1,1.2,Q4,4.0,11.0,9.1,15.0,113.84,79.9,5.0,13.4,35.04,2.0
1,1.0,Q4,16.0,25.8,16.900000000000002,,148.38,51.1,7.0,2.2,71.88,0.0
0,0.9,Q3,14.0,15.9,12.0,1.0,63.72,47.0,4.0,4.3,21.6,
0,3.4,Q1,10.0,37.0,15.0,62.0,114.67,24.5,5.0,1.1,50.4,7.0
1,1.0,Q3,8.0,29.6,14.0,20.0,145.2,83.8,7.0,1.4,11.3,4.0
0,3.2,Q1,9.0,,12.0,2.0,154.15,63.0,6.0,3.5,23.9,2.0
1,2.0,Q2,12.0,,4.0,61.0,134.78,65.4,11.0,7.0,35.0,0.0
1,3.4,Q3,5.0,3.2,6.0,75.0,107.67,60.9,10.0,0.7,46.3,2.0
0,0.6,Q1,21.0,36.3,18.0,21.0,164.94,17.9,3.0,,73.1,5.0
1,2.4,Q4,10.0,15.6,14.3,20.0,264.62,78.9,8.0,4.0,43.92,1.0
0,1.5,Q2,23.0,24.4,15.0,1.0,104.43,62.3,6.0,12.6,46.8,3.0
0,2.8,Q1,8.0,25.9,30.0,112.0,118.81,41.7,3.0,0.9,40.6,2.0
0,3.1,Q3,4.0,26.5,9.0,4.0,105.01,48.4,10.0,8.4,30.4,4.0
0,6.5,Q2,11.0,18.0,14.0,27.0,179.48,39.4,5.0,2.4,42.5,6.0
0,3.4,Q4,3.0,15.1,13.0,95.0,121.69,55.4,4.0,1.9,74.64,3.0
0,3.7,Q3,7.0,32.1,8.0,23.0,160.08,58.5,5.0,3.6,85.4,5.0
1,7.3,Q2,2.0,16.9,17.0,69.0,131.87,48.5,6.0,6.3,29.3,
1,3.6,Q1,0.0,,6.0,57.0,158.31,72.5,3.0,21.1,10.8,0.0
0,6.5,Q3,20.0,35.9,14.0,7.0,136.75,49.2,4.0,9.1,7.4,3.0
0,2.7,Q1,23.0,22.0,14.0,12.0,112.92,51.3,5.0,3.0,16.5,2.0
1,5.5,Q2,0.0,16.1,4.0,6.0,78.49,98.4,6.0,2.1,14.8,1.0
1,4.8,Q4,7.0,20.3,11.700000000000001,134.0,105.07,52.9,9.0,4.2,53.279999999999994,1.0
1,3.1,Q3,8.0,22.1,9.0,126.0,119.9,51.7,5.0,2.8,45.8,1.0
1,3.6,Q4,0.0,11.1,11.700000000000001,4.0,161.23,76.9,10.0,18.3,34.32,0.0
0,2.8,Q2,8.0,18.4,9.0,79.0,190.55,54.2,5.0,14.6,30.2,1.0
0,2.6,Q4,10.0,24.9,13.0,33.0,171.85,59.4,8.0,9.3,62.75999999999999,5.0
1,7.4,Q2,4.0,25.7,2.0,57.0,67.68,96.2,11.0,9.1,34.1,1.0
0,2.3,Q4,19.0,41.2,19.5,48.0,105.5,65.7,8.0,6.9,42.959999999999994,5.0
0,1.9,Q1,20.0,45.5,14.0,13.0,253.35,54.5,3.0,0.9,27.0,
0,3.1,Q4,28.0,43.3,22.1,18.0,151.71,27.0,4.0,11.1,,
1,2.6,Q2,20.0,31.3,15.0,30.0,158.22,38.4,10.0,12.0,59.9,0.0
0,1.7,Q2,12.0,24.9,7.0,11.0,71.53,63.4,5.0,2.6,54.5,1.0
0,5.3,Q2,13.0,32.6,17.0,23.0,222.18,36.9,2.0,6.9,17.2,3.0
0,3.4,Q1,34.0,42.5,21.0,29.0,92.24,21.5,3.0,5.2,63.0,7.0
1,5.2,Q4,7.0,26.9,10.4,51.0,227.67,73.9,8.0,8.3,65.28,1.0
0,6.9,Q1,9.0,14.0,13.0,13.0,87.46,55.7,6.0,2.2,49.8,
0,2.7,Q4,25.0,49.0,29.900000000000002,20.0,276.45,20.7,0.0,5.9,62.04,5.0
1,0.9,Q2,13.0,37.3,21.0,17.0,73.79,52.0,6.0,9.9,17.6,2.0
0,1.3,Q2,33.0,66.4,33.0,49.0,70.31,10.1,1.0,0.6,60.2,3.0
0,4.8,Q4,11.0,33.6,18.2,6.0,98.03,62.6,3.0,13.9,11.4,4.0
1,1.6,Q4,0.0,16.6,5.2,32.0,240.15,84.0,2.0,8.0,36.72,2.0
0,5.1,Q3,16.0,29.1,18.0,25.0,228.77,44.8,4.0,12.2,,
0,7.3,Q4,2.0,22.2,9.1,0.0,111.77,62.0,6.0,5.5,86.04,2.0
0,5.5,Q4,0.0,27.5,10.4,22.0,109.49,66.8,8.0,8.8,31.56,0.0
1,1.9,Q4,4.0,,3.9000000000000004,3.0,140.47,62.2,10.0,9.5,99.0,0.0
0,1.5,Q4,12.0,28.6,11.700000000000001,19.0,97.74,64.6,7.0,5.0,25.8,2.0
1,7.5,Q2,1.0,,6.0,46.0,106.08,83.0,4.0,9.6,74.0,0.0
0,1.9,Q1,7.0,21.9,7.0,9.0,89.4,61.3,8.0,5.2,81.6,1.0
0,1.6,Q1,11.0,30.3,15.0,96.0,135.93,52.6,7.0,4.6,,3.0
0,5.4,Q3,23.0,35.0,17.0,55.0,158.94,38.9,4.0,3.7,,4.0
0,2.0,Q1,20.0,26.9,18.0,,80.49,57.3,5.0,3.8,69.4,4.0
0,2.9,Q1,13.0,28.3,15.0,32.0,92.81,50.3,9.0,7.4,42.6,4.0
1,4.5,Q4,4.0,14.3,6.5,30.0,160.49,85.4,3.0,1.8,74.75999999999999,1.0
0,9.7,Q2,3.0,18.4,9.0,2.0,115.64,67.4,5.0,5.0,24.0,6.0
1,1.9,Q3,6.0,19.5,18.0,37.0,108.53,57.3,7.0,1.4,22.2,0.0
0,0.9,Q3,13.0,38.1,12.0,89.0,161.39,64.7,5.0,1.4,39.0,1.0
0,0.3,Q3,9.0,29.3,9.0,9.0,175.38,40.2,1.0,2.7,79.4,1.0
0,2.3,Q4,15.0,30.0,20.8,39.0,90.89,48.4,5.0,2.2,8.76,4.0
0,2.4,Q4,7.0,30.3,14.3,6.0,115.75,54.7,7.0,11.0,72.84,2.0
1,1.5,Q4,8.0,10.2,10.4,20.0,83.17,76.9,7.0,3.1,47.4,
1,1.7,Q4,5.0,14.7,18.2,2.0,151.63,38.0,10.0,1.9,91.68,5.0
1,1.4,Q3,14.0,25.8,9.0,14.0,92.35,51.2,4.0,13.6,48.1,2.0
0,2.1,Q1,9.0,20.5,4.0,20.0,75.58,59.1,3.0,6.5,40.1,0.0
